student_id,paper_id,title,publication_venue,tier,domain,year_published,is_first_author,co_authors_count
S0016,RP0001,Industrial IoT Predictive Maintenance,Conference,Conference,IoT,2024,True,5
S0021,RP0002,Progressive Web Application Performance,Preprint,Non-indexed,Web,2023,True,2
S0022,RP0003,Compiler Optimization Techniques,Conference,Non-indexed,Programming,2024,False,3
S0023,RP0004,Web Accessibility Standards Compliance,Preprint,Conference,Web,2024,False,5
S0023,RP0005,Zero Trust Architecture Implementation,Conference,Q3,Cybersecurity,2023,False,5
S0026,RP0006,Microservices Architecture Patterns,Preprint,Non-indexed,Web,2025,True,4
S0028,RP0007,Software Testing Automation Framework,Other,Conference,Programming,2022,False,5
S0033,RP0008,Malware Detection using Deep Learning,IEEE,Conference,Cybersecurity,2024,True,3
S0034,RP0009,Vulnerability Assessment Automation,Preprint,Non-indexed,Cybersecurity,2025,False,5
S0045,RP0010,Progressive Web Application Performance,Preprint,Conference,Web,2022,True,5
S0046,RP0011,Multi-Cloud Deployment Strategies,Conference,Conference,Cloud,2024,True,3
S0058,RP0012,Code Quality Metrics Analysis,Preprint,Non-indexed,Programming,2023,False,4
S0061,RP0013,Real-time Operating System Scheduling,Springer,Conference,Embedded,2023,True,5
S0066,RP0014,Digital Transformation Strategies,Conference,Conference,Management,2025,True,1
S0066,RP0015,Serverless Computing Performance Analysis,IEEE,Q2,Cloud,2024,True,4
S0072,RP0016,Digital Transformation Strategies,Preprint,Conference,Management,2024,False,2
S0074,RP0017,Zero Trust Architecture Implementation,Conference,Non-indexed,Cybersecurity,2024,False,2
S0080,RP0018,Wearable Health Device Data Analysis,UGC,Conference,IoT,2023,True,5
S0080,RP0019,Vulnerability Assessment Automation,IEEE,Non-indexed,Cybersecurity,2022,True,1
S0081,RP0020,Generative Adversarial Networks for Data Augmentation,UGC,Conference,AI_ML,2025,True,1
S0096,RP0021,Low-Power Embedded System Design,Scopus,Q2,Embedded,2024,False,2
S0102,RP0022,Digital Transformation Strategies,IEEE,Non-indexed,Management,2025,False,3
S0110,RP0023,Neural Architecture Search: A Survey,Preprint,Non-indexed,AI_ML,2025,True,5
S0116,RP0024,Agile Methodology in Software Development,Other,Conference,Management,2024,True,2
S0116,RP0025,Microservices Architecture Patterns,Other,Non-indexed,Web,2025,True,2
S0119,RP0026,Wearable Health Device Data Analysis,Springer,Q2,IoT,2025,False,5
