student_id,project_id,project_title,domain,tech_stack,complexity,team_size,has_deployment,has_github,duration_weeks,year
S0001,P0001,Invoice Management System,Finance,"R,Shiny,quantmod",Intermediate,4+,False,True,6,2025
S0002,P0002,Job Portal with Matching,Web,"Angular,Spring Boot,MySQL",Advanced,3,True,False,9,2023
S0002,P0003,Attendance Management System,Other,"Kotlin,Android Studio,Firebase",Basic,1,False,False,3,2022
S0002,P0004,Smart Agriculture System,IoT,"Raspberry Pi,Python,MQTT",Intermediate,1,False,False,10,2022
S0003,P0005,Digital Lock System,Embedded,"C,PIC,Assembly",Basic,2,False,True,2,2023
S0003,P0006,Autonomous Lane Detection,AI_ML,"Python,Scikit-learn,Pandas",Basic,4+,False,False,2,2025
S0004,P0007,Password Manager,Other,"Java,Spring,MySQL",Basic,2,True,False,2,2024
S0005,P0008,Speech Emotion Recognition,AI_ML,"Python,Scikit-learn,Pandas",Advanced,4+,False,True,9,2022
S0005,P0009,Smart Agriculture System,IoT,"Arduino,Python,Firebase",Basic,4+,False,False,3,2024
S0005,P0010,Student Information System,Web,"React,Node.js,MongoDB",Intermediate,4+,False,False,9,2023
S0005,P0011,Stock Portfolio Tracker,Finance,"Python,Dash,Plotly",Advanced,3,True,True,15,2024
S0006,P0012,Predictive Maintenance using ML,AI_ML,"Python,Keras,Streamlit",Intermediate,2,True,True,8,2025
S0006,P0013,Loan Default Prediction,Finance,"Python,Dash,Plotly",Basic,3,False,False,6,2024
S0008,P0014,Recommendation Engine for E-commerce,AI_ML,"Python,TensorFlow,Flask",Intermediate,4+,False,True,6,2025
S0008,P0015,Healthcare Cost Analysis,Data,"R,ggplot2,dplyr",Basic,2,False,False,2,2023
S0009,P0016,Loan Default Prediction,Finance,"Python,Dash,Plotly",Intermediate,4+,True,False,12,2022
S0010,P0017,COVID-19 Data Analysis Dashboard,Data,"Python,Pandas,Seaborn",Intermediate,3,False,True,11,2022
S0010,P0018,Personal Finance Manager,Finance,"R,Shiny,quantmod",Intermediate,4+,False,False,8,2024
S0011,P0019,Sign Language Recognition System,AI_ML,"Python,NLTK,SpaCy",Advanced,3,False,False,19,2022
S0012,P0020,Stock Portfolio Tracker,Finance,"Python,Dash,Plotly",Advanced,2,True,True,9,2024
S0013,P0021,QR Code Generator,Other,"PHP,Laravel,MySQL",Advanced,4+,True,True,8,2025
S0014,P0022,Smart Home Automation System,IoT,"Raspberry Pi,Python,MQTT",Basic,1,False,False,4,2024
S0014,P0023,File Encryption Tool,Other,"C#,.NET,SQL Server",Intermediate,3,False,True,6,2024
S0014,P0024,Healthcare Cost Analysis,Data,"Python,Power BI,Excel",Intermediate,2,False,True,10,2024
S0015,P0025,Smart Agriculture System,IoT,"ESP32,MicroPython,ThingSpeak",Advanced,2,True,True,20,2024
S0015,P0026,Drone Flight Controller,Embedded,"C,Arduino,PCB Design",Basic,3,False,False,6,2023
S0015,P0027,Retail Demand Forecasting,Data,"Python,Databricks,Spark",Intermediate,2,False,True,10,2023
S0016,P0028,Booking System for Hotels,Web,"React,Node.js,MongoDB",Intermediate,3,False,False,11,2023
S0017,P0029,Cryptocurrency Price Predictor,Finance,"Python,NumPy,Matplotlib",Intermediate,2,True,False,12,2022
S0018,P0030,Online Voting System,Web,"HTML,CSS,JavaScript",Advanced,2,True,False,16,2023
S0018,P0031,Food Delivery App,Web,"HTML,CSS,JavaScript",Intermediate,3,False,False,11,2022
S0019,P0032,Stock Portfolio Tracker,Finance,"Python,Pandas,yfinance",Basic,1,False,True,4,2025
S0019,P0033,Personal Finance Manager,Finance,"Python,Dash,Plotly",Basic,2,False,False,5,2025
S0019,P0034,Industrial IoT Dashboard,IoT,"NodeMCU,C,Blynk",Intermediate,1,False,False,5,2025
S0020,P0035,Social Media Dashboard,Web,"React,Node.js,MongoDB",Advanced,3,True,True,10,2024
S0021,P0036,QR Code Generator,Other,"Kotlin,Android Studio,Firebase",Basic,1,False,False,6,2023
S0021,P0037,Personal Finance Manager,Finance,"Excel,VBA,SQL",Intermediate,3,False,True,9,2025
S0022,P0038,Booking System for Hotels,Web,"React,Firebase,Tailwind",Basic,2,False,False,5,2022
S0022,P0039,Loan Default Prediction,Finance,"R,Shiny,quantmod",Intermediate,4+,True,True,4,2024
S0022,P0040,Music Player Application,Other,"Kotlin,Android Studio,Firebase",Intermediate,3,False,True,4,2025
S0023,P0041,Handwritten Digit Recognition,AI_ML,"Python,PyTorch,FastAPI",Basic,4+,False,False,6,2025
S0023,P0042,Wearable Health Monitor,IoT,"ESP32,MicroPython,ThingSpeak",Advanced,3,False,True,13,2025
S0023,P0043,Hospital Management System,Web,"Django,Bootstrap,PostgreSQL",Intermediate,2,False,True,5,2023
S0025,P0044,Smart Agriculture System,IoT,"NodeMCU,C,Blynk",Basic,1,False,False,3,2023
S0025,P0045,File Encryption Tool,Other,"PHP,Laravel,MySQL",Basic,1,False,False,6,2023
S0025,P0046,Industrial IoT Dashboard,IoT,"Arduino,C++,Sensors",Advanced,3,True,True,10,2024
S0026,P0047,Pulse Oximeter Design,Embedded,"C,ARM,RTOS",Intermediate,2,False,True,7,2024
S0026,P0048,Inventory Management System,Other,"Kotlin,Android Studio,Firebase",Intermediate,2,False,False,8,2024
S0027,P0049,Cryptocurrency Price Predictor,Finance,"Python,Pandas,yfinance",Advanced,3,False,True,15,2022
S0028,P0050,Pulse Oximeter Design,Embedded,"C,PIC,Assembly",Basic,2,False,False,4,2024
S0028,P0051,E-Commerce Platform,Web,"React,Node.js,MongoDB",Intermediate,4+,False,True,8,2024
S0028,P0052,Line Following Robot,Embedded,"C,PIC,Assembly",Basic,4+,False,False,6,2022
S0029,P0053,Smart Home Automation System,IoT,"ESP32,MicroPython,ThingSpeak",Advanced,3,True,True,14,2025
S0029,P0054,RFID-based Attendance System,Embedded,"C++,STM32,FreeRTOS",Basic,4+,False,True,4,2024
S0030,P0055,Wearable Health Monitor,IoT,"Arduino,C++,Sensors",Basic,2,False,True,2,2024
S0030,P0056,Loan Default Prediction,Finance,"Python,Pandas,yfinance",Advanced,3,True,False,14,2024
S0030,P0057,Handwritten Digit Recognition,AI_ML,"Python,Keras,Streamlit",Intermediate,2,False,False,12,2022
S0030,P0058,Chatbot using NLP and Transformers,AI_ML,"Python,TensorFlow,Flask",Intermediate,3,False,True,10,2024
S0031,P0059,Digital Lock System,Embedded,"Verilog,FPGA,ModelSim",Basic,3,False,True,5,2025
S0031,P0060,Personal Finance Manager,Finance,"Python,Dash,Plotly",Intermediate,1,True,True,7,2024
S0031,P0061,Smart Energy Meter,IoT,"Raspberry Pi,Python,MQTT",Intermediate,1,False,True,5,2023
S0032,P0062,Hospital Management System,Web,"Django,Bootstrap,PostgreSQL",Intermediate,3,False,True,10,2023
S0032,P0063,Sign Language Recognition System,AI_ML,"Python,TensorFlow,Flask",Intermediate,2,True,False,7,2024
S0032,P0064,Recommendation Engine for E-commerce,AI_ML,"Python,NLTK,SpaCy",Basic,1,False,True,4,2025
S0032,P0065,Blog Platform with Auth,Web,"Next.js,Prisma,PostgreSQL",Intermediate,4+,False,True,9,2024
S0033,P0066,Online Voting System,Web,"React,Express,PostgreSQL",Basic,4+,False,True,2,2023
S0034,P0067,Personal Finance Manager,Finance,"Python,NumPy,Matplotlib",Basic,2,False,True,2,2024
S0034,P0068,Healthcare Cost Analysis,Data,"Python,SQL,Tableau",Basic,2,False,False,4,2025
S0035,P0069,Line Following Robot,Embedded,"C,PIC,Assembly",Advanced,3,False,True,9,2024
S0035,P0070,Smart Energy Meter,IoT,"Raspberry Pi,Python,MQTT",Intermediate,1,True,False,6,2023
S0035,P0071,Traffic Light Controller,Embedded,"C,PIC,Assembly",Intermediate,2,True,True,7,2025
S0036,P0072,Water Quality Sensor Network,IoT,"Arduino,C++,Sensors",Advanced,3,False,True,20,2024
S0036,P0073,Budget Planning Tool,Finance,"Python,Pandas,yfinance",Advanced,4+,True,True,19,2025
S0037,P0074,Music Player Application,Other,"C#,.NET,SQL Server",Basic,1,False,False,2,2022
S0037,P0075,Sales Forecasting Model,Data,"Python,Pandas,Matplotlib",Basic,3,False,False,3,2025
S0037,P0076,Password Manager,Other,"Kotlin,Android Studio,Firebase",Basic,3,False,False,5,2025
S0038,P0077,File Encryption Tool,Other,"Python,Flask,SQLite",Intermediate,2,False,False,6,2023
S0038,P0078,QR Code Generator,Other,"C#,.NET,SQL Server",Intermediate,4+,False,False,5,2022
S0039,P0079,Supply Chain Analytics,Data,"Python,PySpark,Hadoop",Intermediate,2,True,True,6,2024
S0039,P0080,Fitness Tracking App,Other,"Java,Spring,MySQL",Basic,3,False,False,2,2025
S0039,P0081,Line Following Robot,Embedded,"Verilog,FPGA,ModelSim",Advanced,3,False,False,18,2024
S0039,P0082,Sign Language Recognition System,AI_ML,"Python,Keras,Streamlit",Advanced,2,True,True,10,2022
S0040,P0083,Personal Finance Manager,Finance,"Python,NumPy,Matplotlib",Intermediate,1,True,True,12,2023
S0041,P0084,Credit Risk Assessment,Finance,"Python,NumPy,Matplotlib",Advanced,3,False,True,13,2023
S0042,P0085,File Encryption Tool,Other,"PHP,Laravel,MySQL",Advanced,1,True,False,15,2022
S0042,P0086,Industrial IoT Dashboard,IoT,"Arduino,C++,Sensors",Advanced,3,True,True,9,2023
S0043,P0087,Attendance Management System,Other,"C#,.NET,SQL Server",Basic,2,False,False,2,2024
S0044,P0088,Sales Forecasting Model,Data,"R,ggplot2,dplyr",Intermediate,2,True,True,8,2023
S0044,P0089,Pulse Oximeter Design,Embedded,"C++,STM32,FreeRTOS",Basic,2,False,False,2,2025
S0045,P0090,Event Management Platform,Web,"Vue.js,Django,SQLite",Intermediate,2,False,True,12,2024
S0046,P0091,Stock Market Trend Analysis,Data,"Python,Pandas,Seaborn",Basic,2,False,False,4,2024
S0046,P0092,Recommendation Engine for E-commerce,AI_ML,"Python,Hugging Face,Transformers",Intermediate,2,False,False,5,2025
S0047,P0093,Air Quality Monitoring System,IoT,"Arduino,Python,Firebase",Intermediate,3,False,True,10,2023
S0047,P0094,Digital Lock System,Embedded,"C,ARM,RTOS",Intermediate,2,True,False,6,2023
S0048,P0095,Fitness Tracking App,Other,"Java,Spring,MySQL",Intermediate,4+,False,True,9,2024
S0048,P0096,Pulse Oximeter Design,Embedded,"C,PIC,Assembly",Basic,3,True,False,6,2024
S0049,P0097,Drone Flight Controller,Embedded,"C,Arduino,PCB Design",Basic,1,False,False,3,2024
S0050,P0098,Real-time Chat Application,Web,"Next.js,Prisma,PostgreSQL",Basic,2,False,True,3,2024
S0050,P0099,Social Media Analytics,Data,"Python,Pandas,Matplotlib",Intermediate,2,False,True,11,2023
S0050,P0100,Supply Chain Analytics,Data,"Python,SQL,Tableau",Intermediate,2,True,True,7,2025
S0050,P0101,Online Voting System,Web,"Vue.js,Django,SQLite",Basic,1,False,False,4,2024
S0051,P0102,Expense Tracker App,Web,"Angular,Spring Boot,MySQL",Basic,2,False,False,5,2022
S0051,P0103,Speech Emotion Recognition,AI_ML,"Python,OpenCV,NumPy",Advanced,2,False,True,10,2023
S0051,P0104,Sign Language Recognition System,AI_ML,"Python,NLTK,SpaCy",Basic,3,False,False,3,2022
S0052,P0105,Image Classification using CNN,AI_ML,"Python,Scikit-learn,Pandas",Advanced,3,False,True,19,2023
S0052,P0106,Digital Lock System,Embedded,"C,ARM,RTOS",Intermediate,3,True,False,6,2025
S0052,P0107,Traffic Light Controller,Embedded,"C,PIC,Assembly",Basic,2,False,False,6,2024
S0053,P0108,Wearable Health Monitor,IoT,"NodeMCU,C,Blynk",Intermediate,3,False,True,4,2023
S0053,P0109,Student Information System,Web,"React,Express,PostgreSQL",Intermediate,1,False,True,9,2025
S0053,P0110,Weather Pattern Analysis,Data,"Python,SQL,Tableau",Intermediate,1,False,True,10,2023
S0054,P0111,Water Quality Sensor Network,IoT,"Raspberry Pi,Python,MQTT",Basic,1,False,False,4,2024
S0054,P0112,Air Quality Monitoring System,IoT,"NodeMCU,C,Blynk",Basic,3,True,True,3,2025
S0054,P0113,Industrial IoT Dashboard,IoT,"Arduino,C++,Sensors",Intermediate,2,False,True,5,2024
